version,platform_version,round,episode_id,engine_version,era,declared_wire,declared_sim,formed,partners_named,kickoff_present,tags,jointact,win,rank,score,score_ratio,decode_ok
v44_baseline,43,4502,ce1b209f-aa73-4dbe-a1f6-8ddfa479af1f,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,True,3,n/a_not_exported,384.0,n/a_not_tracked
v44_baseline,43,4501,37baedf6-cb70-4013-a401-35c277c5bc45,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,2,n/a_not_exported,288.0,n/a_not_tracked
v44_baseline,43,4503,0f7a15ce-16c4-4553-bc5d-cb035df71ca5,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,True,1,n/a_not_exported,3072.0,n/a_not_tracked
v44_baseline,43,4503,de775727-0ac8-4356-8ea1-6199b736e588,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,5,n/a_not_exported,7.7143,n/a_not_tracked
v44_baseline,43,4503,041dcff0-474d-4ffd-aada-02c3ca2e5333,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,10,n/a_not_exported,0.6,n/a_not_tracked
v44_baseline,43,4503,0ed13b43-4aaa-4d13-8836-f2e0fa9ea7f9,0.7.356,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,5,n/a_not_exported,3.5556,n/a_not_tracked
v44_baseline,43,4503,b23376c4-fbb2-43f3-9f15-6d99d55abdfc,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,5,n/a_not_exported,2.0,n/a_not_tracked
v44_baseline,43,4503,69a4294b-659b-4404-913f-9b881a16516f,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,14,n/a_not_exported,0.1111,n/a_not_tracked
v44_baseline,43,4503,b3df3a03-061e-4976-b4e9-d226d3849612,0.7.356,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,6,n/a_not_exported,1.3333,n/a_not_tracked
v44_baseline,43,4503,0509dd37-579a-4bae-a49a-716508a79624,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.2222,n/a_not_tracked
v44_baseline,43,4503,633bbc88-0dac-4358-8dcc-82551d19377d,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,9,n/a_not_exported,0.2857,n/a_not_tracked
v44_baseline,43,4503,34b4b8c8-d9e8-4468-a5e8-247078d8edb2,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,6,n/a_not_exported,1.7143,n/a_not_tracked
v44_baseline,43,4504,19f9fe3f-ada1-4c28-9c9f-84b2fe24b1f8,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.1429,n/a_not_tracked
v44_baseline,43,4504,e31a48ac-b1f6-458e-a93c-b9ca212780a4,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,8,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4504,eaa23f80-f45d-4fb9-88aa-2e1c92e0a3d3,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,5,n/a_not_exported,6.8571,n/a_not_tracked
